S No,School Name,Establishment,Region,Pre-primary section (Y/N),Classes,medium of instructions,Management,Cluster
282,Ajitdada English Medium School Katphal,2013,Urban,Yes,1 to 3,English,Pvt.Unaided,Parawadi
283,Gavandvasti,2001,Rural,No,1 to 4,Marathi,Local Body,Parawadi
284,Kai. Jijabai Dadasaheb Gavade Eng Med Sch,2014,Rural,Y,1 to 4,English,Pvt.Unaided,Parawadi
285,Kai.jijabai Dadasaheb Gawade Vid. Parawadi,1991,Rural,N,5 to 12,Mararthi,Pvt.Aided,Parawadi
286,S.c.hischool Nibodi,2000,Rural,N,5 to 10,Marathi,Pvt.Aided,Parawadi
287,Zpps Ambarwasti,1992,Rural,N,1 to 4,Marathi,Local Body,Parawadi
288,Zpps Balgudepatta,1958,Rural,N,1 to 4,Marathi,Local Body,Parawadi
289,Zpps Bhisrshipkulevasti,2001,Rural,N,1 to 4,Marathi,Local Body,Parawadi
290,Zpps Chodharvasti,2001,Rural,N,1 to 4,Marathi,Local Body,Parawadi
291,Zpps Dhasiwadi,1972,Rural,N,1 to 4,Marathi,Local Body,Parawadi
292,Zpps Gavadevasti,2006,Rural,N,1 to 4,Marathi,Local Body,Parawadi
293,Zpps Jainakwadi,1946,Rural,N,1 to 4,Marathi,Local Body,Parawadi
294,Zpps Katphal,,,,,,,
295,Zpps Malkhopwasti,,,,,,,
296,Zpps Nimbodi,,,,,,,
297,Zpps Parwadi,,,,,,,
298,Zpps Pawarkhumbharvasti,,,,,,,
299,Zpps Wanjarwadi,,,,,,,
300,Karmavir Bhaurao Patil Vid. & Jr. College Sangavi,1959,Rural,No,5 to 12,Marathi,Pvt.Aided,Shiravali
301,Shree Sai English Med School Sangavi,2012,Rural,Yes,1 to 3,English,Pvt.Unaided,Shiravali
302,Tawarewasti,1948,Rural,No,1 to 4,Marathi,Local Body,Shiravali
303,Vitthal Mad Kambaleshwar,1994,Rural,No,5 to 10,Marathi,Pvt.Aided,Shiravali
304,Zpps Bargewadi,1948,Rural,No,1 to 4,Marathi,Local Body,Shiravali
305,Zpps Barvwasti,1948,Rural,No,1 TO 5,Marathi,Local Body,Shiravali
306,Zpps Ganwatwasti,1959,Rural,No,1 TO 4,Marathi,Local Body,Shiravali
307,Zpps Hagarewasti,1947,Rural,No,1 TO 4,Marathi,Local Body,Shiravali
308,Zpps Jadhavwasti,1970,Rural,No,1 TO 4,Marathi,Local Body,Shiravali
309,Zpps Kambaleshwar,1911,Rural,No,1 TO 5,Marathi,Local Body,Shiravali
310,Zpps Khandaj,1922,Rural,No,1 TO 4,Marathi,Local Body,Shiravali
311,Zpps Khandeshwari Mad Vid,1994,Rural,No,5 TO 10,Marathi,Pvt.Aided,Shiravali
312,Zpps Phondkulewasti,2000,Rural,No,1 TO 4,Marathi,Local Body,Shiravali
313,Zpps Sangavi,1911,Rural,No,1 TO 7,Marathi,Local Body,Shiravali
314,Zpps Shirawali,1948,Rural,No,1 TO 7,Marathi,Local Body,Shiravali
315,Zpps Vabalewasti,1966,Rural,No,1 TO 4,Marathi,Local Body,Shiravali
316,Zpps Vitthalwadi,1958,Rural,No,1 TO 4,Marathi,Local Body,Shiravali
317,Zpps Waghwasti,1987,Rural,No,1 TO 4,Marathi,Local Body,Shiravali
318,Shri Shirsai Vid Shirsuphal,1982,Rural,N,5 to 10,Marathi,Pvt.Aided,Shirsuphal
319,Zpps Bhagatwadi,1962,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
320,Zpps Dhawadegavdewasti,1953,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
321,Zpps Dhaytondewasti,2004,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
322,Zpps Gadikhel,1954,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
323,Zpps Garmala,1967,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
324,Zpps Golandwadi,1960,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
325,Zpps Madhalamala,1989,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
326,Zpps Mahadeomala,1967,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
327,Zpps Paritwadi,1997,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
328,Zpps Sablewadi,1948,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
329,Zpps Shindewadi Gadikhel,1963,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
330,Zpps Shirsuphal,1920,Rural,N,1 to 7,Marathi,Local Body,Shirsuphal
331,Zpps.tilekarvasti,2005,Rural,N,1 to 4,Marathi,Local Body,Shirsuphal
332,Aandabai Jadhavrao Kanya Sch,1923,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
333,Dnyaneeip Balak Mandir Malegaon Bk,1995,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
334,S S M High School Malegaon,1947,Rural,N ,5 to 10,Marathi,Local Body,Shivnagar
335,S.v.p.m English M.malegaon Bu,2001,Rural,N,1 to 10,English,Pvt. Unaided,Shivnagar
336,Shardabai Pawar Mahila Mahavidlaya Shardanagar,1991,Rural,N,11 to 12,English,Pvt. Aided,Shivnagar
337,Shardabai Pawar Vid. & Junior College Shivnagar,1978,Rural,N,5 to 12,Marathi,Pvt. Aided,Shivnagar
338,Shardabai Pawar Vidya Mandir Shardanagar,1990,Rural,Y,1 to 4,Marathi,Pvt. Aided,Shivnagar
339,Shardabai Pawar Vidya Niketan Shardanagar,1991,Rural,N,5 to 11,Marathi,Pvt. Aided,Shivnagar
340,Shishuvihar Primary School Shivnagar,1974,Rural,Y,1 to 4,Marathi,Pvt. Unaided,Shivnagar
341,Zpps Chavanvasti,2001,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
342,Zpps Gophnewasti,1982,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
343,Zpps Malegaon Bk No 1,1880,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
344,Zpps Malegaon Colony,1934,Rural,N,1 to 7,Marathi,Local Body,Shivnagar
345,Zpps Malegaon Kh,1914,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
346,Zpps Pahunewadi,1930,Rural,N,1 to 7,Marathi,Local Body,Shivnagar
347,Zpps Phalkewasti,1984,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
348,Zpps Shivnagar 1,1976,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
349,Zpps Shivnagar N 2,1981,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
350,Zpps Yeledhalewasti,1948,Rural,N,1 to 4,Marathi,Local Body,Shivnagar
351,MAD VID SORTEWADI,1993,Rural,N,5 to 10,Marathi,Pvt. Aided,Someshwar Nagar
352,MUGUTRAO SAHEBRAO KAKADE MAHAVIDLAYA SOMESHWARNAGAR,1976,Rural,N,11 to 12,Marathi,Pvt. Aided,Someshwar Nagar
353,NEW ENGLISH SCHOOL WAKEWADI,1968,Rural,N,5 to 12,Marathi,Pvt. Aided,Someshwar Nagar
354,SHENDKARWADI,1958,Rural,N,1 to 4,Marathi,Pvt. Aided,Someshwar Nagar
355,SOMESHWAR PUBLIC SCHOOL SOMESHWARNAGAR,1975,Rural,Y,1 to 6,Marathi,Pvt. Aided,Someshwar Nagar
356,SOMESHWAR VIDHYALAY & JR.COLLEGE (SCI) SOMESHWARNAGAR,1977,Rural,N,5 to 12,Marathi,Pvt. Aided,Someshwar Nagar
357,V P SOMESHWAR ENGLISH MEDIUM SCHOOL,2007,Rural,Y,1 to 10,English,Pvt. Aided,Someshwar Nagar
358,ZPPS DEULWADI,1960,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
359,ZPPS JOSHIWADI,2004,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
360,ZPPS KADAMWASTI,1948,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
361,ZPPS KARMJE,1918,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
362,ZPPS KARNAJEPUL,1989,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
363,ZPPS MAGARWADI,1995,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
364,ZPPS MALASHI,1948,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
365,ZPPS MALWADI(KARANJE),2002,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
366,ZPPS MURUM,1897,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
367,ZPPS NAIKWADI,1960,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
368,ZPPS RAMNAGAR,1998,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
369,ZPPS SALOBAWASTI,1973,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
370,ZPPS SCHOOL CHAUDHARWADI,1947,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
371,ZPPS SOMESHWANAGAR,1965,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
372,ZPPS SORATEWADI,1948,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
373,ZPPS WANEWADI,1908,Rural,N,1 to 4,Marathi,Local Body,Someshwar Nagar
374,BHIRAVANATH V.BABURDI,1994,Rural,N,5 to 10,Marathi,Pvt. Aided,Supe
375,PRAJKTA MATIMAND NIVASI VID.SUPE,2002,Rural,N,1 to 4,Marathi,Pvt. Aided,Supe
376,SHRI SHAHAJI HIGH SUPE,1960,Rural,N,5 to 12,Marathi,Pvt. Aided,Supe
377,ZPPS BABURDI,1919,Rural,N,1 to 4,Marathi,Local Body,Supe
378,ZPPS BHONDWEWADI,1911,Rural,N,1 to 4,Marathi,Local Body,Supe
379,ZPPS BORKARWADI,1948,Rural,N,1 to 7,Marathi,Local Body,Supe
380,ZPPS KALKHAIREWADI,1954,Rural,N,1 to 4,Marathi,Local Body,Supe
381,ZPPS KOLEWASTI,1960,Rural,N,1 to 4,Marathi,Local Body,Supe
382,ZPPS KUDALEMALA ,2004,Rural,N,1 to 4,Marathi,Local Body,Supe
383,ZPPS KUTAWALWADI,1948,Rural,N,1 to 4,Marathi,Local Body,Supe
384,ZPPS PANSAREWADI,1949,Rural,N,1 to 4,Marathi,Local Body,Supe
385,ZPPS PATHAREVASTI,2003,Rural,N,1 to 4,Marathi,Local Body,Supe
386,ZPPS RAJBAG,1958,Rural,N,1 to 4,Marathi,Local Body,Supe
387,ZPPS SHERECHIWADI,1948,Rural,N,1 to 4,Marathi,Local Body,Supe
388,ZPPS SUPE NO 1,1864,Rural,N,1 to 4,Marathi,Local Body,Supe
389,ZPPS SUPE NO 2,1948,Rural,N,1 to 4,Marathi,Local Body,Supe
390,ZPPS TAMBEVASTI,2004,Rural,N,1 to 4,Marathi,Local Body,Supe
391,ZPPS TARTEVASTI,2004,Rural,N,1 to 4,Marathi,Local Body,Supe
392,ZPPS WADHANE,1938,Rural,N,1 to 4,Marathi,Local Body,Supe
393,ZPPS.GAIKWAD DHOPAREVASTI,2006,Rural,N,1 to 4,Marathi,Local Body,Supe
394,ZPPS.KHOREMALA,2004,Rural,N,1 to 4,Marathi,Local Body,Supe
395,NEW ENGLISH SCHOOL DHAKALE,1998,Rural,N,8 to 10,Marathi,Pvt. Adided,Wadgaon Nimbalkar
396,SOMESHWAR VIDHYLAYA MUDHALE,1993,Rural,N,5 to 10,Marathi,Pvt. Adided,Wadgaon Nimbalkar
397,SWTANTRYA VID.MANDIR WADGAON NIM.,1953,Rural,N,5 to 12,Marathi,Pvt. Adided,Wadgaon Nimbalkar
398,SOMESHWAR VIDHYLAYA MUDHALE,1993,Rural,N,5 to 10,Marathi,Pvt. Adided,Wadgaon Nimbalkar
399,ZPPS DAREKARWADI,1962,Rural,N,1 to 4,Marathi,Local Body,Wadgaon Nimbalkar
400,ZPPS DHAKALE,1920,Rural,N,1 to 7,Marathi,Local Body,Wadgaon Nimbalkar
401,ZPPS JADHAWADI BARAMATI,1948,Rural,N,1 to 4,Marathi,Local Body,Wadgaon Nimbalkar
402,ZPPS JAIPATREWADI,1948,Rural,N,1 to 4,Marathi,Local Body,Wadgaon Nimbalkar
403,ZPPS JAIPATREWADI GAONTHAN,1992,Rural,N,1 to 4,Marathi,Local Body,Wadgaon Nimbalkar
404,ZPPS JALKEWADI,1948,Rural,N,1 to 4,Marathi,Local Body,Wadgaon Nimbalkar
405,ZPPS KHAMGALWADI,1964,Rural,N,1 to 4,Marathi,Local Body,Wadgaon Nimbalkar
406,ZPPS KINGARE PARANDE MALA,1962,Rural,N,2 to 4,Marathi,Local Body,Wadgaon Nimbalkar
407,ZPPS LOKHNDWADI ,1980,Rural,N,3 to 4,Marathi,Local Body,Wadgaon Nimbalkar
408,ZPPS MUDHALE ,1897,Rural,N,4 to 4,Marathi,Local Body,Wadgaon Nimbalkar
409,ZPPS THOMBAREWADI,1999,Rural,N,5 to 4,Marathi,Local Body,Wadgaon Nimbalkar
410,ZPPS THOMBAREWADI NO.2,2010,Rural,N,6 to 4,Marathi,Local Body,Wadgaon Nimbalkar
411,ZPPS WABALEWASTI,2000,Rural,N,7 to 4,Marathi,Local Body,Wadgaon Nimbalkar
412,ZPPS WADGAON NIMBALKAR NO1,1823,Rural,N,8 to 4,Marathi,Local Body,Wadgaon Nimbalkar
413,ZPPS WADGAON NIMBALKAR NO2,1927,Rural,N,9 to 4,Marathi,Local Body,Wadgaon Nimbalkar
